                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0656,                0.64366,                0.98803,                0.47444,                0.60389,                0.43627,                0.31018,                 1.2508,                 1.1265,                 1.0556,             0.00042307,             0.00042307,             0.00042307
                     36,                  1.063,                0.63748,                0.98322,                0.47521,                0.57032,                0.43341,                 0.3058,                 1.2578,                  1.162,                 1.0538,             0.00041821,             0.00041821,             0.00041821
                     37,                 1.0667,                0.63034,                0.98648,                0.48485,                0.58595,                 0.4313,                 0.3037,                  1.251,                 1.1244,                 1.0538,             0.00041336,             0.00041336,             0.00041336
                     38,                 1.0615,                0.62508,                0.98222,                0.48951,                0.56347,                0.42221,                0.29929,                 1.2384,                 1.1336,                 1.0545,             0.00040851,             0.00040851,             0.00040851
                     39,                  1.065,                0.62977,                0.98382,                0.47516,                0.59131,                0.44803,                0.31503,                 1.2552,                 1.1433,                 1.0495,             0.00040366,             0.00040366,             0.00040366
                     40,                 1.0624,                0.62188,                0.98316,                0.48919,                0.57268,                0.43906,                0.31309,                 1.2573,                 1.1282,                 1.0537,             0.00039881,             0.00039881,             0.00039881
                     41,                 1.0542,                0.61485,                 0.9804,                0.48626,                0.59669,                0.43939,                0.30947,                 1.2465,                 1.1095,                 1.0531,             0.00039396,             0.00039396,             0.00039396
                     42,                 1.0575,                0.61368,                0.98096,                0.48415,                0.58841,                0.44488,                 0.3147,                 1.2492,                 1.1394,                 1.0486,             0.00038911,             0.00038911,             0.00038911
                     43,                 1.0505,                  0.611,                0.97655,                0.47821,                0.60139,                 0.4414,                 0.3123,                 1.2421,                 1.1032,                 1.0598,             0.00038426,             0.00038426,             0.00038426
                     44,                 1.0397,                0.60737,                0.97437,                0.51318,                0.58058,                0.43499,                0.30965,                 1.2403,                 1.1688,                 1.0521,             0.00037941,             0.00037941,             0.00037941
                     45,                  1.046,                0.60882,                0.97842,                0.50334,                0.59406,                0.45375,                0.32334,                   1.24,                 1.1077,                 1.0533,             0.00037456,             0.00037456,             0.00037456
                     46,                  1.045,                0.60596,                0.97715,                0.49457,                 0.6072,                 0.4407,                0.31299,                 1.2456,                  1.109,                 1.0575,             0.00036971,             0.00036971,             0.00036971
                     47,                  1.029,                0.59035,                0.97129,                0.48919,                0.61725,                0.45541,                0.32334,                 1.2474,                 1.1194,                 1.0544,             0.00036485,             0.00036485,             0.00036485
                     48,                 1.0283,                0.59555,                0.97341,                0.48423,                0.57558,                0.44708,                0.31984,                 1.2455,                  1.199,                 1.0578,                0.00036,                0.00036,                0.00036
                     49,                 1.0414,                0.59352,                0.97701,                0.49525,                0.55503,                0.43521,                0.31079,                 1.2441,                 1.1461,                 1.0586,             0.00035515,             0.00035515,             0.00035515
                     50,                 1.0332,                0.59287,                0.97209,                0.49258,                0.59271,                0.42229,                0.29871,                 1.2351,                 1.1266,                 1.0541,              0.0003503,              0.0003503,              0.0003503
                     51,                  1.028,                0.58652,                0.96967,                0.47989,                0.60083,                0.45192,                0.32018,                 1.2432,                 1.1217,                 1.0543,             0.00034545,             0.00034545,             0.00034545
                     52,                 1.0292,                0.58495,                0.97292,                0.50549,                0.56078,                0.43846,                 0.3128,                 1.2392,                 1.1351,                 1.0512,              0.0003406,              0.0003406,              0.0003406
                     53,                 1.0281,                 0.5786,                0.96985,                0.49944,                0.60204,                0.43601,                0.31021,                 1.2345,                 1.1078,                 1.0517,             0.00033575,             0.00033575,             0.00033575
                     54,                 1.0226,                0.58137,                0.97471,                0.50004,                 0.6115,                0.44441,                 0.3147,                 1.2414,                 1.1147,                 1.0517,              0.0003309,              0.0003309,              0.0003309
                     55,                 1.0345,                0.58356,                0.97332,                0.51728,                0.57637,                0.43998,                0.31324,                 1.2351,                 1.1369,                 1.0493,             0.00032605,             0.00032605,             0.00032605
                     56,                 1.0194,                0.57328,                0.96613,                0.49151,                0.58433,                0.44393,                0.31486,                 1.2339,                 1.1628,                 1.0461,              0.0003212,              0.0003212,              0.0003212
                     57,                  1.017,                0.57761,                0.96819,                0.47744,                 0.6086,                0.46601,                0.33339,                 1.2389,                 1.1242,                 1.0511,             0.00031634,             0.00031634,             0.00031634
                     58,                 1.0234,                0.57356,                0.96922,                0.49989,                0.58365,                0.44775,                0.31898,                 1.2391,                 1.1792,                 1.0487,             0.00031149,             0.00031149,             0.00031149
                     59,                 1.0182,                0.57096,                0.96496,                0.49123,                0.61853,                0.43973,                0.31279,                 1.2422,                 1.1535,                  1.052,             0.00030664,             0.00030664,             0.00030664
                     60,                 1.0126,                0.56727,                0.96766,                0.50027,                0.60127,                 0.4446,                0.31639,                 1.2359,                 1.1315,                  1.056,             0.00030179,             0.00030179,             0.00030179
